Release 8.1i - Fit J.36
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 7-19-2022 10:11AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  deocder_4x16.ngd
output file: deocder_4x16_pad.csv
Part type:   xa9536xl
Speed grade: -15
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O/GCK3,,,,,,,,,,
P2,out<5>,O,I/O,OUTPUT,,,,,,,,,
P3,TIE,,I/O,,,,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,out<6>,O,I/O,OUTPUT,,,,,,,,,
P6,TIE,,I/O,,,,,,,,,,
P7,out<7>,O,I/O,OUTPUT,,,,,,,,,
P8,TIE,,I/O,,,,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,out<8>,O,I/O,OUTPUT,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,out<9>,O,I/O,OUTPUT,,,,,,,,,
P15,VCC,,VCCINT,,,,,,,,,,
P16,TIE,,I/O,,,,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,out<2>,O,I/O,OUTPUT,,,,,,,,,
P19,out<1>,O,I/O,OUTPUT,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,out<15>,O,I/O,OUTPUT,,,,,,,,,
P22,in<3>,I,I/O,INPUT,,,,,,,,,
P23,out<14>,O,I/O,OUTPUT,,,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,out<13>,O,I/O,OUTPUT,,,,,,,,,
P29,en,I,I/O,INPUT,,,,,,,,,
P30,out<12>,O,I/O,OUTPUT,,,,,,,,,
P31,in<0>,I,I/O,INPUT,,,,,,,,,
P32,out<11>,O,I/O,OUTPUT,,,,,,,,,
P33,in<1>,I,I/O/GSR,INPUT,,,,,,,,,
P34,TIE,,I/O/GTS2,,,,,,,,,,
P35,VCC,,VCCINT,,,,,,,,,,
P36,in<2>,I,I/O/GTS1,INPUT,,,,,,,,,
P37,out<10>,O,I/O,OUTPUT,,,,,,,,,
P38,out<0>,O,I/O,OUTPUT,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,out<3>,O,I/O,OUTPUT,,,,,,,,,
P42,out<4>,O,I/O,OUTPUT,,,,,,,,,
P43,TIE,,I/O/GCK1,,,,,,,,,,
P44,TIE,,I/O/GCK2,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


